"","MOLM13_2W_2","MOLM13_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3"
"A0A024R1R8",460174224.433789,464019089.929833,422658106.416307,447944295.849455,453129338.35616,468934772.962174,555575445.140138,597696370.365587
"A0A024RBG1",27434077.117645,21604578.815746,27746159.2584214,24360779.3055679,25120062.3870925,28109837.2792696,16761258.5499298,25299308.588385
"A0A0B4J2F0",11260290.5445004,12935422.2352703,14039356.1856415,14801813.5524381,12859677.0222767,14017022.0357757,13891878.3907824,14325876.7810176
"A0A0K0K1A5",4691518.52803637,4295171.93522397,3997700.41117204,3327959.91995478,3831786.64367888,3384654.70213531,3836410.50058673,5234384.67405633
"A0A0U1RRL7",2618961.04055006,3427213.94241724,2569804.19727175,2330839.0665175,1822642.62328199,1799658.07296335,3619182.34032611,3263295.9371762
"A0A2R8Y619",1157122303.30067,1740829108.89809,1472280602.83817,1172651146.91486,1369931659.30465,1662733059.02957,1435755231.28611,1410717817.80529
"A0A8I5KQE6",1317648524.4349,1565320689.87984,1406896548.19812,1447323053.00581,1206261879.03985,1267894466.13103,1595206394.92337,1486518644.02083
"A0AVF1",1130504.05006801,1019596.30728024,804614.248694631,911676.442862876,667163.895121755,963625.255734369,553727.073350105,570141.732515281
"A0AVK6",846029.32598795,873483.346775023,713166.141189691,1026308.47628789,833178.858025964,948979.931953051,815895.144078976,1026421.93665546
"A0AVT1",36093041.1998083,33335636.1714347,37584481.3112416,37529530.3065492,39723366.1533916,35386514.1665161,35157821.0767431,36339507.6062955
"A0FGR8",79869187.3025399,78914553.9414805,78124044.1831857,82942196.6148206,68124897.3743651,68846137.8215145,81243097.0876821,80801958.0068307
"A0JLT2",9922338.21261707,9519873.01972867,8135681.60851822,10377057.6962516,10268844.3685497,9541107.62993624,8566405.82975705,10760899.4683909
"A0JNW5",5537174.67775851,5097734.24642108,5257103.07078233,5471787.64523388,5693763.07142169,4676231.3773833,5155500.54473811,5331718.79360601
"A0MZ66",8886866.80337628,6701267.9019988,8784133.38197206,7602616.15525278,8499209.19663606,8008204.66509452,7705104.50313867,7266689.47842047
