"","MV4_11_6W_1","MV4_11_WT_1","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3"
"A0A024R1R8",386517242.307891,470738303.634502,454808520.010155,423477150.818371,618642506.125663,436082901.906047,472892446.609933,451911188.272502,418311860.724755
"A0A024RBG1",17150736.8783715,21232849.4868085,18566000.5454461,19595699.492522,16790269.607412,22770996.8330115,17427936.7879204,18950139.1406766,16535795.9523829
"A0A0B4J2F0",12540094.896264,14809420.2287508,14822944.9001282,14495679.3765082,13696370.1020141,12934192.4882091,6756198.40546146,10716251.0799418,9497949.36550272
"A0A0K0K1A5",4431599.87020391,6101630.11497307,3732573.11353382,3971815.40385027,4943806.92657882,6238107.69482352,4805502.53810666,4924383.20288013,3722415.58577903
"A0A0U1RRL7",2162601.42229508,12108968.116225,8156359.87433854,10917258.2894422,9290754.74161436,7867662.38959277,8127082.66011963,8207914.99651891,9525763.45229546
"A0A2R8Y619",1561089053.26738,889651057.699369,1269342678.02726,1576621020.99912,857663769.049539,1193661273.23232,1621448742.31867,1512978412.93217,1198225234.20442
"A0A8I5KQE6",1549434305.56621,1609279986.30243,1274723118.61385,1579969854.58036,1446743428.44044,1409707348.69447,1348379670.39715,1217324244.78055,1334704848.75616
"A0AVF1",833849.323261091,1664361.40133167,1728815.2922136,1603048.12433801,1629948.89414851,1526790.01136067,1809476.69937146,1540834.64740566,1254721.27580375
"A0AVK6",838071.048554383,704205.666558563,554747.707094943,566044.159205095,508094.427447683,405104.635965809,523286.51550338,622748.159497928,430137.308694379
"A0AVT1",37787720.7815665,27793070.4046733,27847475.9575812,30766870.3291909,28666092.2007892,27112618.5733658,29797089.9272693,27645451.2483659,27741786.0300456
"A0FGR8",75676139.7438269,105059014.686917,93588383.7118245,89466969.6670171,93348669.0405798,94458904.8046676,87942052.2712397,91508876.3009713,89338974.4222308
"A0JLT2",11429939.6274597,12721562.1504075,12369959.2162269,12806717.9584618,14723928.496646,12892071.1947875,12442476.0500449,10422572.5019492,10490782.9863946
"A0JNW5",5142277.50778251,4454326.11551341,4669033.21430524,4530241.13344761,4161657.47193787,4453644.38631566,4043929.30213482,4030937.85253889,4123565.08707869
"A0MZ66",7941767.1621185,5364924.98538414,8841792.27962249,8152722.19060335,8312290.65553455,7620137.24670507,7900336.2772886,4696941.43197952,4826564.39624052
"A0PJW6",10455469.8793929,11694170.4471274,11289149.8034602,9713166.98885496,12055883.2365842,10950164.1338367,10604262.3495141,12772077.5742424,12604687.6049473
"A1L0T0",18494395.6933451,23565678.8850882,22487837.2097277,19762720.2579297,22516432.4256413,19862113.8962314,20102797.1298794,19503106.6561395,19392642.173191
"A1L188",2041745.69982005,1622340.19280009,1726847.64982821,1501734.22911597,2023367.77614907,1705864.57246932,1065073.48442451,1393612.45927509,1033829.28861125
"A2A288",4544926.12233981,4329859.19464519,5260362.48712542,3999788.75375636,4665200.55729991,4780312.54680703,5420925.32302404,5301416.31890125,4306360.05070368
"A2RRP1",11205014.095559,9238745.27882282,8844669.59690663,8927173.62820821,9310454.85069833,9995993.5809533,8686025.97247076,8944702.12740798,8894605.49869081
"A2RTX5",3060167.83193179,2349238.49519637,2831648.8195393,2306462.14167864,3330153.55226845,2736613.5241826,2656892.54529469,2609051.24836324,2465093.99365191
"A2RU67",1161809.89006499,1642279.99290731,1021708.91613501,1298905.24151285,1252222.4250738,1162162.95897877,1177755.06957882,376546.781738839,1493653.84154632
