"","OCI_6W_2","OCI_WT_1","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"A0A024R1R8",422792189.443665,337870254.484504,414553078.070826,251050236.017914,375942499.278248,354048282.285682,458869318.622595,357859206.834402,308893210.886969
"A0A024RBG1",24852971.9692772,25326283.1463886,31859823.1643071,36080832.2629706,35449259.0725115,34561274.503967,25931065.6204319,33387967.9346226,41297914.3085594
"A0A0B4J2F0",17740877.2200563,22638952.0298619,13651679.8771027,8868742.82401184,13124171.3228091,16761323.2331068,13386961.4998495,15458282.9842622,16103373.1340127
"A0A0K0K1A5",6600723.88721557,5683306.6334001,4967239.45792578,4157009.96217898,4197316.18599114,5910079.98011897,6311438.62660088,4080780.4670698,4558618.16069896
"A0A0U1RRL7",3967042.26584474,3958977.35862035,3211601.18512481,2916812.4155124,2474584.4287528,3511421.49398409,3099592.02139012,3476584.21314823,3342369.62112828
"A0A2R8Y619",1579246084.5515,1040840016.00222,1232384440.07831,1599906115.60565,1200223084.08664,1377691662.26209,1412999735.11554,1499238721.3605,1222233150.92389
"A0A8I5KQE6",1161403724.94162,1436535793.62565,1216858755.57199,1161793064.15307,1237283883.62441,1378363645.52731,1228754497.39299,1289961921.33508,1248140853.52754
"A0AVF1",2087648.48382463,2183639.68208744,1694690.44688709,1814495.93481318,2128980.33336393,2139858.84252522,2129833.10975102,2488366.39128227,2268321.11632645
"A0AVK6",938923.244980521,1187894.297485,760096.89831443,949828.892736142,927242.767559814,714763.896909793,825285.118988385,1039680.24117745,1123675.43524057
"A0AVT1",40021555.693649,38130790.7574831,38620878.5756286,36357752.5106298,37167198.2546967,39386444.3709264,43361380.5231771,36331806.3583381,38116598.9080899
"A0FGR8",80260616.0046531,99970760.6293424,74972281.2854881,64847607.7946779,68304401.8593328,88132616.375081,89464039.9328197,84907778.5484386,93644575.7138748
"A0JLT2",10740672.9803939,11904122.6799401,11385100.024097,9092248.38052727,10037066.6293919,11439683.4166555,10495652.6807585,11214217.8937118,11544222.9575591
"A0JNW5",3978682.50742104,4467247.80599917,3782735.13788436,3652712.23616287,3725040.09194355,4220798.2932712,4065618.43846991,4116676.68616706,4139189.26607703
"A0MZ66",9962578.71609219,10464302.4894926,12932412.8851278,13865440.0643097,13562466.7738381,8409706.83571986,7295678.6937102,10648783.5582134,11039391.74055
"A0PJW6",13863619.5384319,9914493.6127999,9864527.78583699,10344168.8235557,11112704.0842389,8992186.4473125,11203011.5475772,10230630.0489509,11871641.096319
"A1L0T0",11313116.475633,13291234.267714,11747913.9742405,11703556.5392969,12142604.4662999,13317378.9368696,8566120.15658425,12670888.7319334,13013949.8638692
"A1L188",941984.880418064,998237.847149579,1092157.04168101,1310414.89127677,1157664.69972332,1438084.69802677,1384971.25269934,878877.605602713,1278184.56448678
"A2A288",3337817.2930477,3058709.26781741,2501638.1034859,2443671.73630996,2615264.9607034,2587668.94315183,3440192.02640664,2937447.1033775,3114632.97545054
"A2RRP1",12286356.9592664,9216592.71650501,11091028.7083826,10857975.8408878,10160238.086267,13177414.0395199,13901758.4501683,9272959.0571151,9019214.78089624
"A2RTX5",3675464.69271568,2622702.5457339,3397393.22354399,3893860.09886851,3912555.56160547,3455367.34632534,4555139.68053615,2419518.51461389,3675314.95048703
"A2RU67",1352231.28544345,1338659.14889963,1271827.17672852,1356323.92341735,1228112.43015336,1574363.24743349,1346010.96958285,1467491.74421293,1313682.56702456
"A2RUS2",36767441.2513501,31144169.7015523,28937030.8188518,30262545.2960516,33400842.5905796,27308637.5148454,33715380.3360903,28288159.7376622,31197120.3975255
"A2VDJ0",1402673.82028761,1573432.26231031,1984741.94790744,1681756.52615036,1611337.04854633,1337301.25570453,1637824.02862514,1869546.09066256,1909818.9065659
"A3KMH1",3790295.35291265,2837397.85803543,2153477.43525931,2941590.57298524,2737995.35925463,2346451.254576,2514990.34920572,2547578.08569397,2553367.99188897
"A3KN83",17448757.2599549,19264106.9408324,18339094.3939589,17786750.1432177,16820920.8515806,17380033.5725899,19657396.3892931,19064903.9601465,19367193.0060115
"A4D1E9",12147158.1329552,10500087.5412475,8461340.23201648,11122562.5816499,10776335.7472434,8107694.20294423,9785094.30538459,10763382.0628818,10691377.8271898
"A4D1P6",18363768.332172,15901530.7399171,12191448.8708408,11860719.6182855,14277660.196816,17878614.0071972,14001602.8449087,14676477.3035119,13655626.7779781
"A4D1U4",3155540.81904962,3146464.86198096,2843938.13812907,2331067.14421732,2865087.1517587,3594582.04665066,3311720.58578399,2421874.1067082,2192887.16678616
"A4FU01",71338084.3474457,55690056.3072897,57159141.0901055,77706108.3522242,45701203.3999485,58378535.689228,64990115.8028114,53230810.5886867,50762215.1719685
"A5D8V6",4460310.62630501,4328558.82605551,4067801.47823252,3145498.13560271,4514533.68101335,4773464.9647035,4543301.00687785,4712156.47399125,4196112.06495941
"A5PLN9",15488805.2401357,13406246.4942189,16292518.6029357,12888799.0927762,14913695.3184485,10866921.1955549,16552475.762754,14459116.0126789,16560098.2404732
