"","Protein.Group","Protein.Names","Genes","First.Protein.Description","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_4W_2","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"1","A0A024R1R8","TMA7B_HUMAN","TMA7B",NA,439415000,424616000,353402000,446997000,410297000,337883000,398527000,413737000,425949000,431842000,501043000,549190000,449949000,400586000,589692000,418346000,462881000,442830000,406093000,409599000,242206000,363793000,378226000,345524000,440643000,352334000,299662000
"2","A0A024RBG1","NUD4B_HUMAN","NUDT4B",NA,26367900,20041700,15904100,20327300,24221300,25326300,26372600,22763100,23823800,26189600,15391500,23556500,18398600,18698200,16141400,21978700,17120100,18627400,16130200,31525700,34938300,34439900,26774500,33826800,25046300,32934100,40190400
"3","A0A075B6I0","LV861_HUMAN","IGLV8-61",NA,NA,NA,NA,NA,NA,NA,567283,NA,482487,NA,NA,515166,446727,NA,NA,NA,NA,NA,NA,570703,NA,511678,NA,802744,NA,524481,NA
"4","A0A075B6I1","LV460_HUMAN","IGLV4-60",NA,NA,NA,NA,NA,NA,NA,560660,NA,753920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","A0A075B6K6","LV403_HUMAN","IGLV4-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","A0A075B6Q5","HV364_HUMAN","IGHV3-64",NA,NA,NA,NA,NA,NA,551484,NA,NA,NA,NA,NA,NA,411576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602315,NA,NA,NA
"7","A0A075B6T8","TVA91_HUMAN","TRAV9-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1324110,NA,NA,NA,NA,NA,NA,NA,NA
"8","A0A075B6V5","TVA36_HUMAN","TRAV36DV7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1329170,NA,NA,NA,NA,NA,NA,NA
"9","A0A075B6Y3","TJA3_HUMAN","TRAJ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","A0A075B759;P0DN26","PAL4E_HUMAN;PAL4F_HUMAN","PPIAL4E;PPIAL4F",NA,NA,NA,NA,NA,NA,NA,26717.4,NA,NA,NA,NA,NA,NA,NA,NA,166273,NA,NA,NA,NA,NA,NA,NA,NA,22871.4,NA,NA
"11","A0A075B767","PAL4H_HUMAN","PPIAL4H",NA,NA,NA,NA,NA,NA,NA,NA,2477950,NA,NA,NA,NA,2974520,NA,NA,3338290,NA,NA,2376680,NA,NA,NA,NA,3230490,NA,NA,NA
"12","A0A087WTH1","TM265_HUMAN","TMEM265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","A0A087WXM9","MEIKN_HUMAN","MEIKIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636809,NA
"14","A0A096LP01","SIM26_HUMAN","SMIM26",NA,286292,1137460,480549,706194,NA,NA,NA,NA,NA,778997,NA,543399,NA,134914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","A0A0A0MS04","TVB67_HUMAN","TRBV6-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535429,NA,NA,NA,NA,NA,NA,NA,NA,NA,924186,NA
"16","A0A0A0MS06","TVB23_HUMAN","TRBV23-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537747,NA,NA,NA,NA,558309,NA,NA,NA
"17","A0A0A0MT76","LJ01_HUMAN","IGLJ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","A0A0A0MT94","TJB22_HUMAN","TRBJ2-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1184720,NA,NA,NA
"19","A0A0A0MTA7","TJB21_HUMAN","TRBJ2-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692940,NA,NA,NA,NA,NA,NA,NA
"20","A0A0A6YYG2","TVB66_HUMAN","TRBV6-6",NA,NA,560973,438005,NA,NA,NA,NA,701237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298249,NA,NA,NA,214849,NA,NA,206492
"21","A0A0A6YYG3","TVB68_HUMAN","TRBV6-8",NA,NA,NA,NA,NA,261312,NA,NA,NA,NA,NA,NA,NA,NA,NA,199358,NA,177004,NA,NA,NA,NA,NA,NA,NA,343146,NA,NA
"22","A0A0A6YYK4","TVB71_HUMAN","TRBV7-1",NA,NA,NA,NA,NA,NA,NA,2361760,NA,2081070,2252010,NA,NA,2304940,NA,NA,NA,NA,NA,NA,NA,NA,2522130,2148800,2088460,NA,2780040,NA
"23","A0A0A6YYK6","TVA16_HUMAN","TRAV16",NA,NA,NA,NA,NA,NA,NA,NA,NA,724700,841368,NA,NA,327439,NA,NA,NA,NA,NA,487534,NA,NA,NA,NA,NA,NA,295828,NA
"24","A0A0B4J1U4;P03979","TRGV3_HUMAN;TRGV5_HUMAN","TRGV3;TRGV5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80886,NA,NA,NA,NA,NA,NA,NA,NA
"25","A0A0B4J1V7","HV781_HUMAN","IGHV7-81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1353620,NA,NA
"26","A0A0B4J1W7;P0DXC3;Q9UND3","NPIA1_HUMAN;NPIA6_HUMAN;NPIA9_HUMAN","NPIPA1;NPIPA6;NPIPA9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1767550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","A0A0B4J1Y8","LV949_HUMAN","IGLV9-49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19674100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","A0A0B4J1Y9","HV372_HUMAN","IGHV3-72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653608,770231,NA,NA,NA,NA,396487,NA,NA,NA,NA
"29","A0A0B4J1Z2","KVD43_HUMAN","IGKV1D-43",NA,3717120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2274120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","A0A0B4J235","TVAM2_HUMAN","TRAV13-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392055,NA,NA,NA,NA,NA,NA,NA,495275
"31","A0A0B4J238","TVA12_HUMAN","TRAV1-2",NA,NA,NA,3991610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","A0A0B4J240","TVA10_HUMAN","TRAV10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313011,NA,NA,NA,NA,329013,NA,338168,NA,NA,NA,NA,NA,NA,NA
"33","A0A0B4J248","TVA11_HUMAN","TRAV1-1",NA,NA,NA,NA,NA,NA,82783.1,NA,293936,230286,NA,NA,241810,402788,NA,370804,364032,167018,220080,255214,305189,NA,NA,223714,227211,209096,215433,160454
"34","A0A0B4J265","TVAZ2_HUMAN","TRAV26-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209760,NA,NA,175103
"35","A0A0B4J273","TVA34_HUMAN","TRAV34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6730250,NA,NA,NA,NA,NA,NA,NA,NA
"36","A0A0B4J2E0","TVBL4_HUMAN","TRBV12-4",NA,396607,NA,NA,NA,NA,NA,361462,NA,NA,NA,NA,NA,297329,NA,NA,488274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
