"","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_4W_2","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"A0A024R1R8",471786673.322789,478529978.881557,405650586.746362,473956853.377063,421543993.592675,345350177.38634,436785939.203992,461019837.028826,465085802.99635,483811629.84964,570575895.429759,619500379.935339,449948999.999977,422119659.57452,620242622.696622,443817183.529493,484779562.815078,463202463.373964,424084682.045319,420446968.163685,253852625.236777,376562947.148523,391471269.9548,357036083.640958,466341569.302206,364432850.687654,312439586.133252
"A0A024RBG1",28027366.1403152,22175260.202505,17863138.2432112,21358335.1553169,24789417.4079351,25811464.0252306,28543349.163641,24966486.9354841,25683029.3946855,28875129.3715422,17135893.9198125,26076105.5230368,18398599.9999986,19544366.9556633,16825543.9602726,23113249.0059401,17793602.0481215,19345376.0361059,16726415.3123115,32251436.6813326,36446250.7838579,35502037.7635264,27584538.2131766,34818688.7966184,26291432.781487,33926800.4733461,41724401.5461513
"A0A0B4J248",211853.539293216,213080.902325351,215185.984893444,226016.664986684,249270.360175198,83833.1587557574,182131.066729798,314830.210835714,243214.63918445,198654.68515639,185062.864600816,260436.330477031,402787.999999999,297903.810073831,382889.53757991,378178.191597285,171736.515434941,226282.353911882,262258.399290588,310311.830373433,273329.059435139,248200.97289533,228568.361732222,231930.933772714,216519.686395981,220019.888516331,164621.499153328
"A0A0B4J2F0",11491008.0295163,13264968.7591981,13051333.0706883,14893571.333437,17697448.5881709,23068681.9356701,14425389.42203,15160960.2160768,13136428.1639636,14382583.6138593,14197725.4806734,14751181.2899851,14693200.0000002,14457327.300563,13725605.9005317,13123607.9433276,6889302.42564456,10932908.6672297,9604161.69083891,13812433.3712761,8950954.22894749,13142126.9630755,12236732.8675869,16879374.4926025,13565331.9139186,15694391.0096681,16259335.6005513
"A0A0K0K1A5",4782893.42804755,4397085.21033999,4600574.79439707,6134594.87856044,6585151.95663387,5782128.49491558,4099717.42953335,3400845.93152891,3908449.66480473,3465172.48000979,3914363.04361664,5380507.74860913,3702460.00000002,3962064.27227784,4953900.96066983,6325200.96344477,4898634.69382136,5019179.24496221,3761570.53231242,5022025.11072679,4193784.77717687,4202449.93999377,5329611.37357512,5948969.40175846,6392266.47474972,4138151.71076051,4785066.16879056
"A0A0U1RRL7",2667683.32985757,3507503.39483267,2241053.17273827,12176912.1301488,3958260.334591,4026626.36293297,2633462.5894733,2380708.53871247,1857187.49180067,1840735.34923681,3692127.16065201,3351157.86014613,8087409.99999996,10888956.4251164,9310581.46259872,7978620.29838481,8289885.47606329,8371450.35858099,9632135.15451768,3246069.14817438,2941777.38751853,2477495.51714711,3407190.11783265,3534079.23599953,3137175.9002702,3525304.36990859,3371836.97364592
"A0A2R8Y619",1187822232.52149,1798724581.93976,1644099996.63613,895977500.931511,1574186555.1758,1065185808.63432,1524535501.95223,1208680301.16386,1408086691.4942,1718755196.63879,1476424085.02806,1464458661.87995,1255189999.99998,1571337206.39505,859912947.664012,1215991325.73363,1664746463.99046,1552923206.15147,1215582587.52197,1250902403.15831,1619421239.60872,1202378684.04783,1301708887.11535,1390049705.17086,1437384237.26007,1528602726.7049,1237229044.58784
"A0A8I5KQE6",1352797295.68543,1617275743.96777,1631611356.22258,1621136514.77433,1157707280.4259,1470572669.78525,1456734363.14552,1492230604.77585,1239713692.75862,1310097705.26485,1640767106.10008,1543355176.92516,1260359999.99997,1574570850.55818,1450844020.804,1436142496.46611,1384061646.15722,1249115710.01373,1354140106.75467,1235061397.68097,1175779883.20977,1239368754.21878,1374026209.93766,1390724005.29846,1249729567.82099,1315049701.7702,1263533051.90946
"A0AVF1",1149105.93166248,1026725.8510789,862146.836281916,1672558.91157845,2083002.33373914,2219560.70657947,822892.06818174,929900.861130436,678963.160119857,984543.569499929,563506.094073085,583705.981321641,1715569.99999999,1599363.19495779,1633058.6396981,1546258.49315937,1842058.52282927,1568319.29183241,1266930.70712464,1711922.41639885,1829484.1856741,2131513.36194392,2365060.44804579,2153319.94732716,2155181.05418288,2522258.50045271,2287685.89535252
"A0AVK6",860654.844476924,892109.851743884,866472.59976557,708077.973923962,936956.43521692,1206478.92237822,729168.247698204,1047118.96044542,848156.838080331,969662.603356732,830769.910237857,1051895.98737221,550815.999999996,564850.456675781,508976.274207423,409741.701969243,531920.648850265,633143.90063159,434019.033860198,767442.589998863,957319.201122322,928273.306945489,969384.741471276,718887.45946131,834398.585372768,1053024.13364226,1132783.98350862
"A0AVT1",36885978.7338816,34235702.1988475,39436364.5966455,27956436.9066854,39918640.7627865,38876915.9156446,38680825.9838098,38489547.5402759,40644129.9600693,36360027.817437,35974286.3028371,37477348.5827803,27592599.9999985,30682678.9252228,28729119.2223568,27526345.9634439,30443234.9464249,28237358.254626,28071065.1609241,39101878.470347,36720958.1964192,37223837.7459002,40304879.8586104,39679956.7685683,43984440.9705632,36916770.6119866,38504044.6918125
"A0FGR8",81705544.2534546,81155374.2875703,79102475.8120296,105734931.369856,80042318.4219045,102042442.273951,80503803.6356972,85154397.0047923,69750957.984899,70817492.3999698,83227257.9885789,83453913.1082639,92674699.9999967,89201545.9883079,93568104.2050123,96000266.1967152,89957851.9234193,93604548.2743713,90475326.1694774,75938230.0185856,65524194.5709343,68402221.4246438,77334476.6880966,88821152.435058,90797361.3894035,86346499.4913982,94649891.7750067
"A0JLT2",10124232.4182463,9758749.81517213,11894004.1536126,12793579.2416043,10714077.5586431,12122765.9053666,8352808.80146042,10623364.0161239,10487071.1165149,9782884.5184681,8749819.59018093,11075564.9907167,12261900.0000009,12773305.4694174,14756687.4240767,13079804.1624499,12697581.912601,10631967.7086358,10607950.8243698,11517705.6935955,9177105.70181849,10051145.9243375,10488151.1757117,11518819.0311766,10634462.3197206,11382980.2300906,11654990.0919587
"A0JNW5",5646112.54441797,5220611.04303294,5339897.5266936,4477909.13464126,3969781.60775154,4543747.30043405,5393548.66183176,5595946.47761897,5810471.85011767,4789819.60005161,5262050.07561777,5480604.5303095,4630849.99999998,4519318.68418719,4170061.91476701,4514405.17930415,4121182.04558062,4107680.95349775,4166727.90095345,3823808.45366075,3684412.76232904,3729835.85840081,3705882.40865425,4248256.37133264,4116006.6751986,4174940.90397551,4176173.20731532
