Genes	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_2w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_WT_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_6w_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_6w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_4W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_3__500ng.raw
A2M				1.22323e+07		5.23615e+06		5.50629e+06			6.53147e+06			5.68739e+06		7.23269e+06					7.99138e+06						
AAAS	2.65579e+07	3.42691e+07	3.17628e+07	2.20347e+07	2.64653e+07	2.67352e+07	3.08978e+07	3.04756e+07	2.57532e+07	2.98701e+07	3.21629e+07	3.00839e+07	2.0711e+07	2.50876e+07	1.98489e+07	2.2365e+07	2.05816e+07	2.33441e+07	2.18732e+07	2.33678e+07	2.50433e+07	2.47543e+07	2.71025e+07	2.61924e+07	2.17796e+07	2.49216e+07	2.88427e+07
AACS	7.33126e+06	3.61207e+06	5.15117e+06	1.30555e+07	4.97892e+06	6.5302e+06	8.14373e+06	4.73148e+06	5.76707e+06	4.49056e+06	4.37991e+06	4.34368e+06	1.48268e+07	1.29527e+07	1.3835e+07	1.25878e+07	1.47941e+07	1.40732e+07	1.42351e+07	8.75976e+06	6.80623e+06	7.75612e+06	8.09528e+06	5.75384e+06	5.0575e+06	6.41557e+06	6.22283e+06
AAGAB	2.88197e+07	2.51628e+07	2.911e+07	2.91257e+07	2.62528e+07	2.00031e+07	2.12037e+07	2.71155e+07	2.32546e+07	4.428e+07	2.29788e+07	2.02459e+07	2.65994e+07	2.76615e+07	2.91915e+07	2.66134e+07	2.45428e+07	2.82692e+07	3.05301e+07	1.95401e+07	1.83719e+07	1.91055e+07	2.69593e+07	1.88366e+07	1.92483e+07	2.33355e+07	2.23521e+07
AAK1	7.13833e+06	6.17275e+06	6.22877e+06	9.39248e+06	1.09336e+07	1.38486e+07	7.16772e+06	5.66065e+06	5.30802e+06	4.34355e+06	6.28148e+06	5.77207e+06	7.43098e+06	8.05929e+06	8.34706e+06	1.10217e+07	7.40972e+06	9.12527e+06	8.71437e+06	9.76617e+06	8.80064e+06	9.44343e+06	1.02818e+07	1.40648e+07	1.38908e+07	9.79609e+06	1.0199e+07
AAMDC	7.50936e+06	8.92648e+06	8.28946e+06	9.33402e+06	7.51431e+06	6.53704e+06	7.59735e+06	9.57979e+06	9.94237e+06	9.03307e+06	9.31209e+06	9.40691e+06	9.34014e+06	9.47143e+06	1.10866e+07	9.25493e+06	9.79175e+06	8.88898e+06	9.52662e+06	3.99185e+06	4.77939e+06	5.41884e+06	4.98558e+06	9.49123e+06	6.7441e+06	5.35783e+06	5.90304e+06
AAMP	2.62321e+07	2.48256e+07	2.41699e+07	3.33669e+07	2.62556e+07	2.24212e+07	2.86836e+07	2.91422e+07	2.45715e+07	2.4897e+07	2.4168e+07	2.60172e+07	3.41075e+07	3.66564e+07	3.84357e+07	3.12291e+07	3.73972e+07	3.17526e+07	3.43349e+07	2.36845e+07	2.65505e+07	2.57316e+07	2.9104e+07	2.59928e+07	2.75839e+07	2.20217e+07	2.63957e+07
AANAT				745146															955644								
AAR2	1.1276e+07	1.26316e+07	1.15327e+07	9.57688e+06	1.7734e+07	1.28477e+07	9.95632e+06	1.17811e+07	1.09605e+07	1.56399e+07	1.29075e+07	1.10873e+07	1.01117e+07	1.16421e+07	9.82077e+06	8.05941e+06	1.18519e+07	1.02072e+07	1.14559e+07	1.57041e+07	1.65737e+07	1.71618e+07	1.62784e+07	1.28162e+07	1.56705e+07	1.43703e+07	1.58958e+07
AARS1	3.47967e+08	2.20228e+08	2.59218e+08	1.90684e+08	1.79228e+08	1.95915e+08	3.48891e+08	3.21971e+08	3.25673e+08	2.72297e+08	2.33224e+08	2.38605e+08	2.16686e+08	2.21333e+08	2.18049e+08	2.4861e+08	2.2684e+08	1.95657e+08	1.86234e+08	1.89338e+08	1.98163e+08	2.09674e+08	1.83288e+08	2.0124e+08	1.77982e+08	1.92503e+08	2.0378e+08
AARS2	3.11562e+07	3.30853e+07	3.2351e+07	1.38851e+07	3.20644e+07	2.93972e+07	3.21213e+07	3.1798e+07	3.35851e+07	3.40163e+07	2.95104e+07	3.08714e+07	1.6421e+07	1.4155e+07	1.16189e+07	1.27864e+07	1.54503e+07	1.50199e+07	1.61787e+07	2.26141e+07	3.34968e+07	3.32556e+07	2.43396e+07	2.07226e+07	2.55642e+07	3.26415e+07	3.19249e+07
