Protein.Group	Protein.Names	Genes	First.Protein.Description	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_2w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_WT_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_6w_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_6w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_4W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_3__500ng.raw
A0A024R1R8	TMA7B_HUMAN	TMA7B		4.39415e+08	4.24616e+08	3.53402e+08	4.46997e+08	4.10297e+08	3.37883e+08	3.98527e+08	4.13737e+08	4.25949e+08	4.31842e+08	5.01043e+08	5.4919e+08	4.49949e+08	4.00586e+08	5.89692e+08	4.18346e+08	4.62881e+08	4.4283e+08	4.06093e+08	4.09599e+08	2.42206e+08	3.63793e+08	3.78226e+08	3.45524e+08	4.40643e+08	3.52334e+08	2.99662e+08
A0A024RBG1	NUD4B_HUMAN	NUDT4B		2.63679e+07	2.00417e+07	1.59041e+07	2.03273e+07	2.42213e+07	2.53263e+07	2.63726e+07	2.27631e+07	2.38238e+07	2.61896e+07	1.53915e+07	2.35565e+07	1.83986e+07	1.86982e+07	1.61414e+07	2.19787e+07	1.71201e+07	1.86274e+07	1.61302e+07	3.15257e+07	3.49383e+07	3.44399e+07	2.67745e+07	3.38268e+07	2.50463e+07	3.29341e+07	4.01904e+07
A0A075B6I0	LV861_HUMAN	IGLV8-61								567283		482487			515166	446727							570703		511678		802744		524481	
A0A075B6I1	LV460_HUMAN	IGLV4-60								560660		753920																		
A0A075B6K6	LV403_HUMAN	IGLV4-3																		645495										
A0A075B6Q5	HV364_HUMAN	IGHV3-64							551484							411576											602315			
A0A075B6T8	TVA91_HUMAN	TRAV9-1																				1.32411e+06								
A0A075B6V5	TVA36_HUMAN	TRAV36DV7																					1.32917e+06							
A0A075B6Y3	TJA3_HUMAN	TRAJ3																608750												
A0A075B759;P0DN26	PAL4E_HUMAN;PAL4F_HUMAN	PPIAL4E;PPIAL4F								26717.4									166273									22871.4		
A0A075B767	PAL4H_HUMAN	PPIAL4H									2.47795e+06					2.97452e+06			3.33829e+06			2.37668e+06					3.23049e+06			
A0A087WTH1	TM265_HUMAN	TMEM265																		363301										
A0A087WXM9	MEIKN_HUMAN	MEIKIN											757085																636809	
A0A096LP01	SIM26_HUMAN	SMIM26		286292	1.13746e+06	480549	706194						778997		543399		134914													
A0A0A0MS04	TVB67_HUMAN	TRBV6-7																	535429										924186	
A0A0A0MS06	TVB23_HUMAN	TRBV23-1																				537747					558309			
A0A0A0MT76	LJ01_HUMAN	IGLJ1																		136143										
A0A0A0MT94	TJB22_HUMAN	TRBJ2-2																									1.18472e+06			
A0A0A0MTA7	TJB21_HUMAN	TRBJ2-1																					692940							
A0A0A6YYG2	TVB66_HUMAN	TRBV6-6			560973	438005					701237												298249				214849			206492
A0A0A6YYG3	TVB68_HUMAN	TRBV6-8						261312										199358		177004								343146		
A0A0A6YYK4	TVB71_HUMAN	TRBV7-1								2.36176e+06		2.08107e+06	2.25201e+06			2.30494e+06									2.52213e+06	2.1488e+06	2.08846e+06		2.78004e+06	
A0A0A6YYK6	TVA16_HUMAN	TRAV16										724700	841368			327439						487534							295828	
A0A0B4J1U4;P03979	TRGV3_HUMAN;TRGV5_HUMAN	TRGV3;TRGV5																				80886								
A0A0B4J1V7	HV781_HUMAN	IGHV7-81																										1.35362e+06		
A0A0B4J1W7;P0DXC3;Q9UND3	NPIA1_HUMAN;NPIA6_HUMAN;NPIA9_HUMAN	NPIPA1;NPIPA6;NPIPA9																1.76755e+06												
A0A0B4J1Y8	LV949_HUMAN	IGLV9-49																1.96741e+07												
A0A0B4J1Y9	HV372_HUMAN	IGHV3-72																		653608	770231					396487				
A0A0B4J1Z2	KVD43_HUMAN	IGKV1D-43		3.71712e+06												2.27412e+06														
A0A0B4J235	TVAM2_HUMAN	TRAV13-2																				392055								495275
A0A0B4J238	TVA12_HUMAN	TRAV1-2				3.99161e+06																								
A0A0B4J240	TVA10_HUMAN	TRAV10														313011					329013		338168							
A0A0B4J248	TVA11_HUMAN	TRAV1-1							82783.1		293936	230286			241810	402788		370804	364032	167018	220080	255214	305189			223714	227211	209096	215433	160454
A0A0B4J265	TVAZ2_HUMAN	TRAV26-2																									209760			175103
A0A0B4J273	TVA34_HUMAN	TRAV34																				6.73025e+06								
A0A0B4J2E0	TVBL4_HUMAN	TRBV12-4		396607						361462						297329			488274											
